sacc;stitle;sscinames
AY180014;Uncultured diatom clone CCW15 18S small subunit ribosomal RNA gene, partial sequence;uncultured diatom
AY180018;Uncultured cercozoan clone CCW29 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY180027;Uncultured chlorophyte clone CCW60 18S small subunit ribosomal RNA gene, partial sequence;uncultured Chlorophyta
AY180028;Uncultured ciliate clone CCW63 18S small subunit ribosomal RNA gene, partial sequence;uncultured ciliate
AY180030;Uncultured ciliate clone CCW66 18S small subunit ribosomal RNA gene, partial sequence;uncultured ciliate
AY180032;Uncultured eukaryote clone CCW75 18S small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AY180035;Uncultured cercozoan clone CCW83 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY187487;Uncultured eukaryote clone SC59 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY193920;Uncultured bacterium clone SB24 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AY193949;Uncultured bacterium clone SB136 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AY230211;Uncultured fungus clone CCW24 18S small subunit ribosomal RNA gene, partial sequence;uncultured fungus
AY256203;Uncultured eukaryote isolate CAR_H5 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AY256221;Uncultured eukaryote isolate H70 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AY267984;Uncultured eukaryote clone 1Bf.15 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY267991;Uncultured eukaryote clone 4Af.7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY267994;Uncultured eukaryote clone 4Af.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY267995;Uncultured eukaryote clone 4Af.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY267996;Uncultured eukaryote clone 4Af.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY268014;Uncultured eukaryote clone 5f.16 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY268038;Micronuclearia podoventralis small subunit ribosomal RNA gene, partial sequence;Micronuclearia podoventralis
AY295356;Uncultured cryptophyte clone RA000412.104 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295377;Uncultured cryptophyte clone RA000412.138 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295405;Uncultured cryptophyte clone RA000412.41 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295410;Uncultured cryptophyte clone RA000412.52 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295419;Uncultured cryptophyte clone RA000412.77 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295657;Uncultured cercozoan clone RA010516.57 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY295666;Uncultured cryptophyte clone RA010516.71 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY295729;Uncultured alveolate clone RD010517.29 18S small subunit ribosomal RNA gene, partial sequence;uncultured alveolate
AY295755;Uncultured alveolate clone RD010517.68 18S small subunit ribosomal RNA gene, partial sequence;uncultured alveolate
AY295757;Uncultured cryptophyte clone RD010517.7 18S small subunit ribosomal RNA gene, partial sequence;uncultured Cryptophyta
AY343928;Uncultured rhodophyte clone He000803-72 18S ribosomal RNA gene, complete sequence;uncultured rhodophyte
AY394693;Uncultured ascomycete clone K31-18 28S ribosomal RNA gene, partial sequence;uncultured Ascomycota
AY425300;Uncultured prasinophyte clone BL010625.1 small subunit ribosomal RNA gene, partial sequence;uncultured prasinophyte
AY425301;Uncultured prasinophyte clone BL010625.2 small subunit ribosomal RNA gene, partial sequence;uncultured prasinophyte
AY426842;Uncultured marine eukaryote clone BL000921.20 18S ribosomal RNA gene, complete sequence;uncultured marine eukaryote
AY426845;Uncultured marine eukaryote clone BL000921.24 18S ribosomal RNA gene, complete sequence;uncultured marine eukaryote
AY426851;Uncultured marine eukaryote clone BL000921.34 18S ribosomal RNA gene, partial sequence;uncultured marine eukaryote
AY426868;Uncultured marine eukaryote clone BL001221.16 18S ribosomal RNA gene, complete sequence;uncultured marine eukaryote
AY426931;Uncultured marine eukaryote clone BL010625.27 18S ribosomal RNA gene, partial sequence;uncultured marine eukaryote
AY426933;Uncultured marine eukaryote clone BL010625.36 18S ribosomal RNA gene, complete sequence;uncultured marine eukaryote
AY494227;Uncultured eukaryote clone 1611 sample 4/01/9.2 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY494245;Uncultured eukaryote clone 1611 sample 4/01/9.2 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY494260;Uncultured eukaryote clone 1925 sample 1/02/0.5 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY532463;Uncultured metazoan clone U92 18S ribosomal RNA gene, partial sequence;uncultured metazoan
AY537855;Uncultured bacterium clone 1A09 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AY537866;Uncultured bacterium clone 1D10 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AY605187;Uncultured ustilaginomycete clone Sey015 small subunit ribosomal RNA gene, partial sequence;uncultured Ustilaginomycetes
AY605193;Uncultured diatom clone Sey024 small subunit ribosomal RNA gene, partial sequence;uncultured diatom
AY605194;Uncultured Stentoridae clone Sey031 small subunit ribosomal RNA gene, partial sequence;uncultured Stentoridae
AY605196;Uncultured diatom clone Sey043 small subunit ribosomal RNA gene, partial sequence;uncultured diatom
AY605201;Uncultured ustilaginomycete clone Sey056 small subunit ribosomal RNA gene, partial sequence;uncultured Ustilaginomycetes
AY605206;Uncultured Tubificina clone Sey064 small subunit ribosomal RNA gene, partial sequence;uncultured Tubificina
AY605208;Uncultured Haptorida clone Sey071 small subunit ribosomal RNA gene, partial sequence;uncultured haptorid ciliate
AY605211;Uncultured cercozoan clone Sey076 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY605212;Uncultured Bicosoecida clone Sey077 small subunit ribosomal RNA gene, partial sequence;uncultured Bicosoecida
AY605217;Uncultured Lobosea clone Sey088 small subunit ribosomal RNA gene, partial sequence;uncultured Lobosea
AY620261;Uncultured cercozoan clone F2 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620301;Uncultured cercozoan clone 13-4.8 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620309;Uncultured cercozoan clone 9-1.7 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620331;Uncultured cercozoan clone C5 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620347;Uncultured cercozoan clone 7-5.5 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620350;Uncultured cercozoan clone 12-4.4 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620356;Uncultured cercozoan clone 7-4.3 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY620362;Uncultured cercozoan clone 7-4.5 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY628359;Uncultured dinoflagellate clone BF9 18S ribosomal RNA gene, partial sequence;uncultured dinoflagellate
AY628365;Uncultured Cryothecomonas clone ssu23 18S ribosomal RNA gene, partial sequence;uncultured Cryothecomonas
AY628367;Uncultured Cryothecomonas clone ssu74 18S ribosomal RNA gene, partial sequence;uncultured Cryothecomonas
AY628368;Uncultured Cryothecomonas clone ssu28 18S ribosomal RNA gene, partial sequence;uncultured Cryothecomonas
AY628369;Uncultured Cryothecomonas clone ssu55 18S ribosomal RNA gene, partial sequence;uncultured Cryothecomonas
AY628370;Uncultured Cryothecomonas clone ssu31 18S ribosomal RNA gene, partial sequence;uncultured Cryothecomonas
AY639349;Uncultured Glomeromycota clone 4.2 28S large subunit ribosomal RNA gene, partial sequence;uncultured Glomeromycotina
AY642698;Uncultured eukaryotic picoplankton clone P1.24 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642699;Uncultured eukaryotic picoplankton clone P1.25 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642702;Uncultured eukaryotic picoplankton clone P34.10 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642703;Uncultured eukaryotic picoplankton clone P34.44 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642705;Uncultured eukaryotic picoplankton clone P34.45 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642706;Uncultured eukaryotic picoplankton clone P1.36 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642716;Uncultured eukaryotic picoplankton clone P1.31 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642717;Uncultured eukaryotic picoplankton clone P1.35 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642718;Uncultured eukaryotic picoplankton clone P34.38 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642723;Uncultured eukaryotic picoplankton clone G5.10 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642725;Uncultured eukaryotic picoplankton clone G5.16 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642729;Uncultured eukaryotic picoplankton clone PG5.20 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642730;Uncultured eukaryotic picoplankton clone PG5.26 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642732;Uncultured eukaryotic picoplankton clone PG5.31 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642734;Uncultured eukaryotic picoplankton clone PG5.12 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642739;Uncultured eukaryotic picoplankton clone A50 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642740;Uncultured eukaryotic picoplankton clone A54 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY642743;Uncultured eukaryotic picoplankton clone A51 18S ribosomal RNA gene, partial sequence;eukaryotic picoplankton environmental sample
AY651081;Spumella-like flagellate JBC/S23 18S ribosomal RNA gene, partial sequence;Spumella-like flagellate JBC/S23
AY651082;Spumella-like flagellate JBC/S24 18S ribosomal RNA gene, partial sequence;Spumella-like flagellate JBC/S24
AY651090;Spumella-like flagellate JBC29 18S ribosomal RNA gene, partial sequence;Spumella-like flagellate JBC29
AY664896;Uncultured eukaryote clone SCM16C59 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664909;Uncultured eukaryote clone SCM38C19 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664918;Uncultured eukaryote clone SCM37C40 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664936;Uncultured eukaryote clone SCM27C9 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664950;Uncultured eukaryote clone SCM15C14 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664951;Uncultured eukaryote clone SCM28C133 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY664967;Uncultured eukaryote clone SCM28C64 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665021;Uncultured eukaryote clone SCM27C18 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665049;Uncultured eukaryote clone SCM27C43 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665050;Uncultured eukaryote clone SCM28C152 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665051;Uncultured eukaryote clone SCM38C24 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665052;Uncultured eukaryote clone SCM38C55 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665082;Uncultured eukaryote clone SCM27C29 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665083;Uncultured eukaryote clone SCM37C29 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665084;Uncultured eukaryote clone SCM15C15 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY665125;Uncultured eukaryote clone SCM27C52 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY672812;Uncultured eukaryote clone B3 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AY672813;Uncultured eukaryote clone B4 small subunit ribosomal RNA gene, partial sequence;uncultured eukaryote
AY736087;Uncultured eukaryote isolate TGGE band 7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749481;Uncultured eukaryote clone H11.1 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749482;Uncultured eukaryote clone H11.1 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749484;Uncultured eukaryote clone H1.3 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749485;Uncultured eukaryote clone H19.9 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749487;Uncultured eukaryote clone H11.9 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749490;Uncultured eukaryote clone H20.6 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749492;Uncultured eukaryote clone H7.1 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749493;Uncultured eukaryote clone H7.4 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749497;Uncultured eukaryote clone H23.2 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749499;Uncultured eukaryote clone H23.9 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749504;Uncultured eukaryote clone H9.3 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749506;Uncultured eukaryote clone H15.3 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749522;Uncultured eukaryote clone H3.1 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749524;Uncultured eukaryote clone H4.1 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749526;Uncultured eukaryote clone H2.2 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749529;Uncultured eukaryote clone H26.4 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749530;Uncultured eukaryote clone H26.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749531;Uncultured eukaryote clone H17.3 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749534;Uncultured eukaryote clone H27.8 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749535;Uncultured eukaryote clone H13.6 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749536;Uncultured eukaryote clone H13.8 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749541;Uncultured eukaryote clone H22.7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749542;Uncultured eukaryote clone H22.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749543;Uncultured eukaryote clone H25.7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749544;Uncultured eukaryote clone H25.8 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749550;Uncultured eukaryote clone H10.10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY749607;Pterocystis sp. Oxford2 18S ribosomal RNA gene, partial sequence;Pterocystis sp. Oxford2
AY752089;Uncultured lake bacterium P38.12 16S ribosomal RNA gene, partial sequence;uncultured bacterium
AY753962;Uncultured eukaryote clone L11.7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY753966;Uncultured eukaryote clone L14.7 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY793805;Uncultured organism clone SIMO1-M13F_E11 unknown mRNA;uncultured organism
AY821916;Uncultured choreotrichid ciliate clone CH1_2A_10 small subunit ribosomal RNA gene, partial sequence;uncultured choreotrichid ciliate
AY821918;Uncultured Tintinnida clone CH1_5A_5 small subunit ribosomal RNA gene, partial sequence;uncultured Tintinnida
AY821938;Uncultured spirotrich clone CV1_B1_13 small subunit ribosomal RNA gene, partial sequence;uncultured Spirotrichea
AY821947;Uncultured Cercozoa clone CV1_B1_41 small subunit ribosomal RNA gene, partial sequence;uncultured Cercozoa
AY821949;Uncultured Choanoflagellida clone CV1_B2_17 small subunit ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
AY821951;Uncultured Teleaulax-like cryptophyte clone CH1_2B_4 small subunit ribosomal RNA gene, partial sequence;uncultured Teleaulax-like cryptophyte
AY829525;Uncultured Amoebophrya clone E small subunit ribosomal RNA gene, partial sequence;uncultured Amoebophrya
AY829526;Uncultured Amoebophrya clone F small subunit ribosomal RNA gene, partial sequence;uncultured Amoebophrya
AY835694;Uncultured eukaryote clone IAFDv98 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY835697;Uncultured peritrich clone IAFDv128 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
AY835702;Uncultured scuticociliate clone IAFDv145 18S ribosomal RNA gene, partial sequence;uncultured scuticociliate
AY882457;Uncultured marine eukaryote clone T41D1 18S small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
AY916579;Uncultured eukaryote clone Zeuk73 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY916632;Uncultured eukaryote clone dpeuk46 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY919681;Uncultured freshwater eukaryote clone LG01-18ml 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919685;Uncultured freshwater eukaryote clone LG02-18ml 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919689;Uncultured freshwater eukaryote clone LG04-01 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919692;Uncultured freshwater eukaryote clone LG04-07 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919696;Uncultured freshwater eukaryote clone LG05-11 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919706;Uncultured freshwater eukaryote clone LG08-04 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919707;Uncultured freshwater eukaryote clone LG08-05 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919713;Uncultured freshwater eukaryote clone LG09-10 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919715;Uncultured freshwater eukaryote clone LG10-01 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919721;Uncultured freshwater eukaryote clone LG11-02 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919728;Uncultured freshwater eukaryote clone LG13-09 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919732;Uncultured freshwater eukaryote clone LG14-07 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919742;Uncultured freshwater eukaryote clone LG18-01 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919749;Uncultured freshwater eukaryote clone LG20-01 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919752;Uncultured freshwater eukaryote clone LG20-09 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919756;Uncultured freshwater eukaryote clone LG21-05 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919763;Uncultured freshwater eukaryote clone LG23-03 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919770;Uncultured freshwater eukaryote clone LG25-02 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919776;Uncultured freshwater eukaryote clone LG26-08 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919789;Uncultured freshwater eukaryote clone LG31-01 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919795;Uncultured freshwater eukaryote clone LG32-12 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919798;Uncultured freshwater eukaryote clone LG33-07 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919803;Uncultured freshwater eukaryote clone LG34-10 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY919811;Uncultured freshwater eukaryote clone LG43-07 18S ribosomal RNA gene, partial sequence;uncultured freshwater eukaryote
AY937527;Uncultured eukaryote clone ENI40076.00149 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937572;Uncultured eukaryote clone ENI40076.00237 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937585;Uncultured eukaryote clone ENI40076.00258 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937695;Uncultured eukaryote clone ENI40076.00443 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937715;Uncultured eukaryote clone ENI40076.00476 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937747;Uncultured eukaryote clone ENI40076.00544 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937764;Uncultured eukaryote clone ENI40076.00591 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY937890;Uncultured eukaryote clone ENI40076.00790 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY938130;Uncultured eukaryote clone ENI42482.00257 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY938315;Uncultured eukaryote clone ENI47296.00167 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY938361;Uncultured eukaryote clone ENI47296.00254 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
AY965869;Soil flagellate AND27 18S ribosomal RNA gene, partial sequence;soil flagellate AND27
AY969198;Uncultured chytridiomycete isolate dfmo4344.082 18S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
AY969234;Uncultured Lobosea isolate dfmo4345.018 18S ribosomal RNA gene, partial sequence;uncultured Lobosea
AY969241;Uncultured choanoflagellate isolate dfmo4345.026 18S ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
CP034495;Eukaryotic synthetic construct chromosome 17;eukaryotic synthetic construct
CP034510;Eukaryotic synthetic construct chromosome Y;eukaryotic synthetic construct
CP034520;Eukaryotic synthetic construct chromosome 17;eukaryotic synthetic construct
CP034535;Eukaryotic synthetic construct chromosome Y;eukaryotic synthetic construct
DQ010462;Uncultured fungus isolate DGGE gel band JC02 18S ribosomal RNA gene, partial sequence;uncultured fungus
DQ103778;Uncultured marine eukaryote clone M3_18H07 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103782;Uncultured marine eukaryote clone M4_18B07 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103790;Uncultured marine eukaryote clone M1_18H06 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103808;Uncultured marine eukaryote clone M4_18F06 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103816;Uncultured marine eukaryote clone M1_18G11 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103819;Uncultured marine eukaryote clone M4_18F09 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103820;Uncultured marine eukaryote clone M1_18E10 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103822;Uncultured marine eukaryote clone M1_18C07 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103824;Uncultured marine eukaryote clone M1_18G03 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103826;Uncultured marine eukaryote clone M3_18F06 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103860;Uncultured marine eukaryote clone M3_18H12 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103867;Uncultured marine eukaryote clone M3_18B12 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103871;Uncultured marine eukaryote clone M3_18H06 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103873;Uncultured marine eukaryote clone M3_18G02 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ103874;Uncultured marine eukaryote clone M3_18A12 small subunit ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ104087;Uncultured chrysophyte clone P200E-19 small subunit ribosomal RNA gene, partial sequence;uncultured Chrysophyceae
DQ104581;Uncultured eukaryote clone EBF_C_D10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ104582;Uncultured eukaryote clone EBF_C_E3 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ104583;Uncultured eukaryote clone EUKDBF10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ104589;Uncultured eukaryote clone EPK_B_C11 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ104591;Uncultured eukaryote clone EPK_B_E10 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ104597;Uncultured eukaryote clone EUKDPK38 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
DQ115949;Uncultured ciliate clone PS05-35 18S ribosomal RNA gene gene, partial sequence;uncultured ciliate
DQ115950;Uncultured ciliate clone NPS20-33 18S ribosomal RNA gene gene, partial sequence;uncultured ciliate
DQ115966;Uncultured ciliate clone PS05-195 18S ribosomal RNA gene gene, partial sequence;uncultured ciliate
DQ120003;Uncultured marine eukaryote clone MD65.20 18S ribosomal RNA gene, partial sequence;uncultured marine eukaryote
DQ222873;Uncultured phototrophic eukaryote clone HE000803.72 18S ribosomal RNA gene, partial sequence;uncultured phototrophic eukaryote
DQ222876;Uncultured phototrophic eukaryote clone RA000907.33 18S ribosomal RNA gene, partial sequence;uncultured phototrophic eukaryote
DQ222877;Uncultured phototrophic eukaryote clone RA000907.54 18S ribosomal RNA gene, partial sequence;uncultured phototrophic eukaryote
DQ222878;Uncultured phototrophic eukaryote clone RA001219.38 18S ribosomal RNA gene, partial sequence;uncultured phototrophic eukaryote
DQ243990;Uncultured freshwater cercozoan clone PCD2AU2004 18S ribosomal RNA gene, partial sequence;uncultured freshwater cercozoan
DQ243991;Uncultured freshwater cercozoan clone PCF1AU2004 18S ribosomal RNA gene, partial sequence;uncultured freshwater cercozoan
DQ243996;Uncultured freshwater cercozoan clone PCG5AU2004 18S ribosomal RNA gene, partial sequence;uncultured freshwater cercozoan
DQ244001;Uncultured freshwater cercozoan clone PCG3AU2004 18S ribosomal RNA gene, partial sequence;uncultured freshwater cercozoan
DQ244003;Uncultured fungus clone PFA4AU2004 18S ribosomal RNA gene, partial sequence;uncultured fungus
DQ244004;Uncultured fungus clone PFF6AU2004 18S ribosomal RNA gene, partial sequence;uncultured fungus
DQ244006;Uncultured choanoflagellate clone PFH2AU2004 18S ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
DQ244007;Uncultured choanoflagellate clone PFB112AU2004 18S ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
DQ244010;Uncultured fungus clone PFF3AU2004 18S ribosomal RNA gene, partial sequence;uncultured fungus
DQ244012;Uncultured cryptophyte clone PFF1AU2004 18S ribosomal RNA gene, partial sequence;uncultured Cryptophyta
DQ244014;Uncultured fungus clone PFB11AU2004 18S ribosomal RNA gene, partial sequence;uncultured fungus
DQ244023;Uncultured alveolate clone PAC10AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244024;Uncultured alveolate clone PAH7AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244026;Uncultured alveolate clone PAB10AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244028;Uncultured alveolate clone PAA2AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244030;Uncultured alveolate clone PAD6AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244032;Uncultured alveolate clone PAB8AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244038;Uncultured alveolate clone PAB5AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
DQ244040;Uncultured alveolate clone PAF2AU2004 18S ribosomal RNA gene, partial sequence;uncultured alveolate
